,feature,importance
237,pos_IDL,0.0
235,pos_ED,0.0
238,pos_K,0.0
240,pos_LG,0.0
241,pos_LS,0.0
236,pos_FB,0.0
242,pos_LT,0.0
243,pos_P,0.0
245,pos_RB,0.0
246,pos_RG,0.0
247,pos_RT,0.0
248,pos_S,0.0
249,pos_TE,0.0
250,pos_WR,0.0
