,Player,Actual_ROI,Pick,Position,Predicted_Probability,Surplus_AV,Expected_AV,Actual_hit
3677,Jarrian Jones,-0.6317208370232086,96,CB,0.12574639668067297,1.8951625110696257,6.895162511069626,0
3678,McKinnley Jackson,-1.606249023258729,97,IDL,0.06370012337962787,4.818747069776187,6.818747069776187,0
3679,Payton Wilson,0.0854316735269797,98,LB,0.055601348324368395,-0.25629502058093934,6.743704979419061,0
3680,Kamren Kinchens,0.4433315030517004,99,S,0.09241306285063426,-1.3299945091551013,6.670005490844899,0
3681,Luke McCaffrey,-0.8658728762645769,100,WR,0.04491832215959827,2.5976186287937306,6.597618628793731,0
3682,Ja'Tavion Sanders,-0.5088383897890788,101,TE,0.0419959945914646,1.5265151693672365,6.5265151693672365,0
3683,Troy Franklin,0.5144444605944184,102,WR,0.0072079602008064585,-1.5433333817832553,6.456666618216745,0
3684,Layden Robinson,-0.7960150631419699,103,LG,0.041042353181789316,2.3880451894259096,6.38804518942591,0
3685,Dadrion Taylor-Demerson,-1.1068745950213694,104,S,0.0,3.3206237850641083,6.320623785064108,0
3686,Justin Eboigbe,-1.418125325129156,105,ED,0.01679087725157539,4.254375975387468,6.254375975387468,0
3687,Cedric Gray,-0.0630919932217501,106,LB,0.005162970318148534,0.18927597966525056,6.189275979665251,0
3688,Theo Johnson,0.2915671174632563,107,TE,0.005162970318148534,-0.8747013523897689,6.125298647610231,0
3689,Brandon Dorlus,-0.3335381394053647,109,IDL,0.08278822200372815,1.0006144182160943,6.000614418216094,0
3690,Javon Baker,-1.9799534044805511,110,WR,0.0656775701791048,5.939860213441653,5.939860213441653,0
3691,Evan Williams,0.7066219919224039,111,S,0.08453352671737473,-2.119865975767212,5.880134024232788,0
3692,Decamerion Richardson,-0.607137864570765,112,CB,0.07583038757244746,1.821413593712295,5.821413593712295,0
3693,Devontez Walker,-1.587892398536269,113,WR,0.011018826315800348,4.763677195608807,5.763677195608807,0
3694,Javon Foster,-1.9023012064593825,114,LT,0.0012870013403395812,5.706903619378148,5.706903619378148,0
3695,Erick All,-1.5503573852611512,115,TE,0.04689820917944113,4.651072155783454,5.651072155783454,0
3696,Jordan Jefferson,-1.532054194306241,116,IDL,0.009187847220649322,4.596162582918723,5.596162582918723,0
3697,Tanor Bortolini,1.4859482824463068,117,C,0.012121211737394333,-4.45784484733892,5.54215515266108,0
3698,Tyrice Knight,1.1703231408208283,118,LB,0.0012102224087963502,-3.510969422462485,5.489030577537515,0
3699,Mason McCormick,2.521076660669182,119,LG,0.0012870013403395812,-7.563229982007546,5.436770017992454,0
3700,Jaylen Wright,-0.4617850233476259,120,RB,0.015997180715203285,1.3853550700428778,5.385355070042878,0
3701,AJ Barner,0.5550774155638903,121,TE,0.06584540816644828,-1.6652322466916711,5.334767753308329,0
3702,Tory Taylor,0.238336500198829,122,P,0.17407881716887155,-0.7150095005964872,5.284990499403513,0
3703,Cade Stover,-1.078668713560542,123,TE,0.0012870013403395812,3.236006140681626,5.236006140681626,0
3704,Malik Mustapha,0.937400700227654,124,S,0.0072079602008064585,-2.8122021006829616,5.187797899317038,0
3705,Bucky Irving,4.286550207761231,125,RB,0.0012870013403395812,-12.859650623283693,5.140349376716307,0
3706,Giovanni Manu,-1.364548181082294,126,LT,0.055601348324368395,4.0936445432468815,5.0936445432468815,0
3707,Will Shipley,-1.015889242757768,127,RB,0.007142857337991397,3.0476677282733036,5.047667728273304,0
3708,Ray Davis,1.665865463169676,128,RB,0.0,-4.997596389509027,5.002403610490973,0
3709,Isaac Guerendo,-0.3192790695159913,129,RB,0.0072079602008064585,0.957837208547974,4.957837208547974,0
3710,T.J. Tampa,-1.3046512906485888,130,CB,0.0,3.9139538719457674,4.913953871945767,0
3711,Jared Wiley,-1.623579757403282,131,TE,0.013408213077733913,4.870739272209846,4.870739272209846,0
3712,Sione Vaki,-1.2760597981072743,132,RB,0.0012870013403395812,3.8281793943218227,4.828179394321823,0
3713,Jaden Hicks,-0.2620868428015501,133,S,0.002044989882657925,0.7862605284046502,4.78626052840465,0
3714,Braelon Allen,-0.2483230872176734,134,RB,0.0012870013403395812,0.7449692616530204,4.74496926165302,0
3715,Jacob Cowing,-1.2347641568337446,135,WR,0.0,3.704292470501234,4.704292470501234,0
3716,Nehemiah Pritchett,-0.8880724376736943,136,CB,0.045731448102742434,2.6642173130210827,4.664217313021083,0
3717,Tarheeb Still,1.7917562594857976,137,CB,0.005162970318148534,-5.375268778457393,4.624731221542607,0
3718,Xavier Thomas,-1.195273965163585,138,ED,0.0038759689778089523,3.5858218954907564,4.585821895490756,0
3719,Jordan Magee,-0.1824924314771001,139,LB,0.0012647102121263742,0.5474772944313004,4.5474772944313,0
3720,Cam Hart,0.4967714562268407,140,CB,0.007142857337991397,-1.4903143686805223,4.509685631319478,0
3721,Sedrick Van Pran-Granger,-0.1574784553150635,141,C,0.031834215546647705,0.4724353659451914,4.472435365945191,0
3722,Anthony Gould,-1.4785717328562278,142,WR,0.005162970318148534,4.435715198568683,4.435715198568683,0
3723,JD Bertrand,-0.4665046879136317,143,LB,0.0,1.3995140637408952,4.399514063740895,0
3724,Austin Booker,0.2120596252323805,144,ED,0.0038759689778089523,-0.6361788756971416,4.363821124302858,0
3725,Kris Abrams-Draine,-0.7762085885195683,145,CB,0.0,2.328625765558705,4.328625765558705,0
3726,Jarvis Brownlee,0.5686941367943253,146,CB,0.005162970318148534,-1.706082410382976,4.293917589617024,0
3727,Audric Estime,-0.7532288032985056,147,RB,0.035087719559669495,2.259686409895517,4.259686409895517,0
3728,Tommy Eichenberg,-0.7419740819280077,148,LB,0.0038759689778089523,2.225922245784023,4.225922245784023,0
3729,Josh Newton,-0.3975384391537317,149,CB,0.005162970318148534,1.192615317461195,4.192615317461195,0
3730,Spencer Rattler,0.6134146530465951,150,QB,0.07583038757244746,-1.8402439591397846,4.159756040860215,0
3731,Jaylon Carlies,-0.37577834092639,151,S,0.009187847220649322,1.12733502277917,4.12733502277917,0
3732,Ainias Smith,-1.031781018710588,152,WR,0.0033319912229975066,3.095343056131764,4.095343056131764,0
3733,Deantre Prince,-1.0212570384447472,153,CB,0.013063816198458275,3.0637711153342417,4.063771115334242,0
3734,Brennan Jackson,-1.010870117274849,154,ED,0.0012870013403395812,3.032610351824548,4.032610351824548,0
3735,Jeremiah Trotter Jr.,-0.0006173632365988,155,LB,0.0012870013403395812,0.001852089709796445,4.0018520897097964,0
3736,Jamari Thrash,-0.9904959405127948,156,WR,0.0019054923517008622,2.9714878215383846,3.9714878215383846,0
3737,Chau Smith-Wade,0.3528302652689829,157,CB,0.007142857337991397,-1.0584907958069487,3.9415092041930513,0
3738,Mohamed Kamara,-1.3039693516338218,158,ED,0.031834215546647705,3.911908054901465,3.911908054901465,0
3739,Hunter Nourzad,-0.6275587824536223,159,C,0.0012870013403395812,1.8826763473608654,3.8826763473608654,0
3740,Edefuan Ulofoshio,-0.951268735991192,160,LB,0.045832957800788186,2.853806207973576,3.853806207973576,0
3741,Dominique Hampton,-1.2750966373967112,161,S,0.0012870013403395812,3.825289912190134,3.825289912190134,0
3742,Christian Jones,-0.9323732936523456,162,RT,0.0012870013403395812,2.797119880957037,3.797119880957037,0
3743,Jacob Monk,-0.5897628924220363,163,C,0.0033319912229975066,1.769288677266109,3.769288677266109,0
3744,Rasheen Ali,-0.9048712315630972,165,RB,0.0,2.714613694689292,3.714613694689292,0
3745,Tyrone Tracy Jr.,3.4374147592253865,166,RB,0.0,-10.31224427767616,3.687755722323841,0
3746,Keilan Robinson,-1.22040272810228,167,RB,0.0,3.66120818430684,3.66120818430684,0
3747,Javon Solomon,0.1216785648473283,168,ED,0.013063816198458275,-0.36503569454198503,3.634964305458015,0
3748,Kitan Oladapo,-0.5363391446393774,169,S,0.000773927972962459,1.6090174339181318,3.609017433918132,0
3749,Bub Means,-0.8611203461114196,170,WR,0.0072079602008064585,2.583361038334259,3.583361038334259,0
3750,Trevor Keegan,-1.1776313786103385,172,LG,0.0,3.5328941358310155,3.5328941358310155,0
3751,Isaiah Davis,0.4973096184912869,173,RB,0.0033319912229975066,-1.4919288554738608,3.508071144526139,0
3752,Caelen Carson,-0.494504551774842,174,CB,0.0072079602008064585,1.483513655324526,3.483513655324526,0
3753,Jaylan Ford,-0.4864052333147743,175,LB,0.0038759689778089523,1.4592156999443229,3.459215699944323,0
3754,Qwan'tez Stiggers,-0.1450571384494635,176,CB,0.0012870013403395812,0.43517141534839077,3.4351714153483908,0
3755,Walter Rouse,-1.137125013817559,177,LT,0.009055829917391142,3.4113750414526773,3.4113750414526773,0
3756,Logan Lee,-1.1292736396338292,178,IDL,0.0072079602008064585,3.3878209189014874,3.3878209189014874,0
3757,Sataoa Laumea,-0.4548344956359497,179,RT,0.025978359548995893,1.3645034869078492,3.364503486907849,0
3758,Marcellas Dial,-0.7804724270524251,180,CB,0.04594265716150403,2.3414172811572755,3.3414172811572755,0
3759,Kimani Vidal,1.2271476894089346,181,RB,0.0,-3.6814430682268036,3.3185569317731964,0
3760,Jha'Quan Jackson,-1.0986390537808284,182,WR,0.0012870013403395812,3.2959171613424854,3.2959171613424854,0
3761,Darius Muasau,1.575502405666848,183,LB,0.0,-4.7265072170005435,3.273492782999456,0
3762,Malik Washington,1.2495737671443892,184,WR,0.007142857337991397,-3.7487213014331675,3.2512786985668325,0
3763,Johnny Wilson,-1.076423298917392,185,WR,0.025978359548995893,3.229269896752176,3.229269896752176,0
3764,Jase McClellan,-1.0691538171327808,186,RB,0.0,3.207461451398342,3.207461451398342,0
3765,Casey Washington,-0.7286161732621818,187,WR,0.007142857337991397,2.1858485197865454,3.1858485197865454,0
3766,Jamal Hill,-0.3881421136635666,188,LB,0.0,1.1644263409906999,3.1644263409907,0
3767,Mekhi Wingo,-0.7143967447605576,189,IDL,0.004602685958767931,2.143190234281673,3.143190234281673,0
3768,Tejhaun Palmer,-1.0337526353190631,191,WR,0.009187847220649322,3.1012579059571896,3.1012579059571896,0
3769,Joe Milton,-0.6866718784349403,193,QB,0.040250689877818026,2.0600156353048207,3.0600156353048207,0
3770,Tanner McLachlan,-1.0132141264367438,194,TE,0.041042353181789316,3.0396423793102314,3.0396423793102314,0
3771,Tyler Davis,0.0002098424643757,196,IDL,0.0012870013403395812,-0.0006295273931273826,2.9993704726068726,0
3772,Patrick McMorris,-0.9865679943899508,198,S,0.0,2.9597039831698524,2.9597039831698524,0
3773,Khristian Boyd,-0.9800292511170966,199,IDL,0.0033319912229975066,2.94008775335129,2.94008775335129,0
3774,Jaden Crumedy,-0.9735369968355764,200,IDL,0.0038759689778089523,2.920610990506729,2.920610990506729,0
3775,Travis Glover,-0.6273535413149794,202,LT,0.0019690319895744324,1.8820606239449384,2.8820606239449384,0
3776,Will Reichard,1.7123401476821634,203,K,0.0,-5.13702044304649,2.86297955695351,0
3777,Tylan Grable,-0.2813410094624597,204,LT,0.007142857337991397,0.8440230283873791,2.844023028387379,0
3778,Jawhar Jordan,-0.6083958199301048,205,RB,0.002044989882657925,1.8251874597903144,2.8251874597903144,0
3779,Nathaniel Watson,-0.6021564440978704,206,LB,0.01067489292472601,1.8064693322936112,2.806469332293611,0
3780,Michael Jerrell,-0.2626217285764627,207,RT,0.0012870013403395812,0.7878651857293884,2.7878651857293884,0
3781,Dylan Laube,-0.9231238725914632,208,RB,0.0,2.76937161777439,2.76937161777439,0
3782,Joshua Karty,-0.2503284277078521,209,K,0.0038759689778089523,0.7509852831235562,2.750985283123556,0
3783,Christian Mahogany,1.089099035769159,210,RG,0.002044989882657925,-3.2672971073074772,2.7327028926925228,0
3784,Cam Little,2.1011876451107336,212,K,0.0,-6.303562935332202,2.696437064667798,0
3785,Jordan Whittington,0.7738508922592887,213,WR,0.0033319912229975066,-2.3215526767778663,2.6784473232221337,0
3786,Cedric Johnson,-0.220182972296091,214,ED,0.0,0.6605489168882732,2.660548916888273,0
3787,Ryan Flournoy,0.7916619714552642,216,WR,0.002044989882657925,-2.3749859143657925,2.6250140856342075,0
3788,Beaux Limmer,1.4642094072848444,217,C,0.0012870013403395812,-4.392628221854533,2.607371778145467,0
3789,Elijah Klein,-0.1849703532337816,220,LG,0.06516754937668641,0.5549110597013449,2.554911059701345,0
3790,Javontae Jean-Baptiste,-0.5067660743211632,222,ED,0.0,1.5202982229634894,2.5202982229634894,0
3791,Trey Taylor,-0.5010306984779698,223,S,0.0038759689778089523,1.5030920954339093,2.5030920954339093,0
3792,Daijahn Anthony,-0.4953164614261691,224,S,0.0,1.4859493842785074,2.4859493842785074,0
3793,Brenden Rice,-0.8229558551796954,225,WR,0.0,2.468867565539086,2.468867565539086,0
3794,Jaden Davis,-0.8172813873619353,226,CB,0.0,2.451844162085806,2.451844162085806,0
3795,Myles Harden,0.1883744189307063,227,CB,0.0,-0.5651232567921189,2.434876743207881,0
3796,Michael Jurgens,-0.1280955916971167,230,C,0.0,0.3842867750913501,2.38428677509135,0
3797,Jaheim Bell,-0.7891733008068854,231,TE,0.0072079602008064585,2.367519902420656,2.367519902420656,0
3798,Levi Drake Rodriguez,0.216400818694141,232,IDL,0.0033319912229975066,-0.6492024560824232,2.350797543917577,0
