Season,ranker,name_display,player_id,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards
2002,60,Luke Manget,luke-manget-1,Georgia Tech,ACC,13,29,29,100.0,12,17,70.6,65,
2002,61,Marc Hickok,marc-hickok-1,Connecticut,Ind,12,47,48,97.9,12,17,70.6,83,
2002,62,Mark-Christian Jensen,mark-christian-jensen-1,California,Pac-10,12,50,51,98.0,19,27,70.4,107,
2002,63,Adam Finley,adam-finley-1,Michigan,Big Ten,13,20,20,100.0,7,10,70.0,41,
2002,64,Cap Poklemba,cap-poklemba-1,Temple,Big East,12,22,26,84.6,14,20,70.0,64,
2002,65,Danny Andino,danny-andino-1,Baylor,Big 12,12,16,19,84.2,7,10,70.0,37,
2002,66,Trent Stephenson,trent-stephenson-1,SMU,WAC,10,9,14,64.3,7,10,70.0,30,
2002,67,Mike Barth,mike-barth-1,Arizona State,Pac-10,14,49,49,100.0,23,33,69.7,118,
2002,68,Ryan Killeen,ryan-killeen-1,USC,Pac-10,13,47,49,95.9,16,23,69.6,95,
2002,69,Bryan Robertson,bryan-robertson-1,Indiana,Big Ten,12,23,28,82.1,9,13,69.2,50,
2002,70,Dallas Pelz,dallas-pelz-1,Buffalo,MAC,12,8,13,61.5,9,13,69.2,35,
2002,71,Michael Matheny,michael-matheny-1,Missouri,Big 12,12,40,42,95.2,9,13,69.2,67,
2002,72,Mike Langford,mike-langford-1,Ball State,MAC,12,31,33,93.9,9,13,69.2,58,
2002,73,Todd James,todd-james-1,West Virginia,Big East,13,46,50,92.0,11,16,68.8,79,
2002,74,Robert Treece,robert-treece-1,Texas Tech,Big 12,14,54,54,100.0,13,19,68.4,93,
2002,75,Matt Wisnosky,matt-wisnosky-1,Wake Forest,ACC,13,33,36,91.7,17,25,68.0,84,
2002,76,Xavier Beitia,xavier-beitia-1,Florida State,ACC,14,51,51,100.0,19,28,67.9,108,
2002,77,Brennan O'Donohoe,brennan-odonohoe-1,Arkansas,SEC,4,14,14,100.0,6,9,66.7,32,
2002,78,Drew Dunning,drew-dunning-1,Washington State,Pac-10,13,47,49,95.9,22,33,66.7,113,
2002,79,Eric Rolfs,eric-rolfs-1,Navy,Ind,9,20,21,95.2,4,6,66.7,32,
2002,80,Geoffrey Blumenfeld,geoffrey-blumenfeld-1,Navy,Ind,7,14,15,93.3,2,3,66.7,20,
2002,81,Keith Robinson,keith-robinson-1,UTEP,WAC,12,28,28,100.0,8,12,66.7,52,
2002,82,Matt Prater,matt-prater-1,UCF,MAC,12,44,47,93.6,14,21,66.7,86,
2002,83,Nick Bazaldua,nick-bazaldua-1,North Texas,Sun Belt,12,25,31,80.6,10,15,66.7,55,
2002,84,Justin Ayat,justin-ayat-1,Hawaii,WAC,14,55,56,98.2,15,23,65.2,100,
2002,85,David Abdul,david-abdul-1,Pitt,Big East,13,28,29,96.6,13,20,65.0,67,
2002,86,John Anderson,john-anderson-1,Washington,Pac-10,13,42,44,95.5,22,34,64.7,108,
2002,87,Luke Phillips,luke-phillips-1,Oklahoma State,Big 12,13,55,56,98.2,11,17,64.7,88,
2002,88,Dan Orner,dan-orner-1,North Carolina,ACC,12,26,27,96.3,9,14,64.3,53,
2002,89,Stephen Gostkowski,stephen-gostkowski-1,Memphis,CUSA,12,32,37,86.5,9,14,64.3,59,
2002,90,Taylor Begley,taylor-begley-1,Kentucky,SEC,12,31,37,83.8,9,14,64.3,58,
2002,91,Bobby Gill,bobby-gill-1,Arizona,Pac-10,12,17,17,100.0,7,11,63.6,38,
2002,92,Mike Allen,mike-allen-1,Wisconsin,Big Ten,14,30,30,100.0,12,19,63.2,66,
2002,93,Nate Smith,nate-smith-1,Louisville,CUSA,13,40,41,97.6,12,19,63.2,76,
2002,94,Tommy Kirovski,tommy-kirovski-1,San Diego State,MWC,13,32,35,91.4,17,27,63.0,83,
2002,95,Daniel Weaver,daniel-weaver-1,South Carolina,SEC,12,24,26,92.3,10,16,62.5,54,
2002,96,Dave Rayner,dave-rayner-1,Michigan State,Big Ten,12,34,35,97.1,10,16,62.5,64,
2002,97,David Rayner,david-rayner-1,Michigan State,Big Ten,12,34,35,97.1,10,16,62.5,64,
2002,98,Kevin Kerr,kevin-kerr-1,Ohio,MAC,12,31,36,86.1,10,16,62.5,61,
2002,99,Dusty Mangum,dusty-mangum-1,Texas,Big 12,13,54,54,100.0,16,26,61.5,102,
2002,100,Greg Johnson,greg-johnson-2,Vanderbilt,SEC,12,27,27,100.0,8,13,61.5,51,
2002,101,Seth Marler,seth-marler-1,Tulane,CUSA,13,29,33,87.9,20,33,60.6,89,
2002,102,Carter Warley,carter-warley-1,Virginia Tech,Big East,10,36,37,97.3,9,15,60.0,63,
2002,103,Kyle Robinson,kyle-robinson-1,Alabama,SEC,13,23,24,95.8,6,10,60.0,41,
2002,104,Matt Leach,matt-leach-1,Florida,SEC,13,30,35,85.7,9,15,60.0,57,
2002,105,Michael Sgroi,michael-sgroi-1,Stanford,Pac-10,11,23,24,95.8,9,15,60.0,50,
2002,106,Michael Ziffle,michael-ziffle-1,Alabama,SEC,9,12,12,100.0,6,10,60.0,30,
2002,107,Nick Gilliam,nick-gilliam-1,San Jose State,WAC,13,42,44,95.5,12,20,60.0,78,
2002,108,Todd Sievers,todd-sievers-1,Miami (FL),Big East,13,66,69,95.7,13,22,59.1,105,
2002,109,Damon Fine,damon-fine-1,Nevada,WAC,12,35,38,92.1,10,17,58.8,65,
2002,110,Brad Devault,brad-devault-1,Tulsa,WAC,9,11,17,64.7,7,12,58.3,32,
2002,111,Kurt Smith,kurt-smith-1,Virginia,ACC,14,22,24,91.7,7,12,58.3,43,
2002,112,Curt Jones,curt-jones-1,Southern Mississippi,CUSA,13,29,29,100.0,15,26,57.7,74,
2002,113,Anthony Apa,anthony-apa-1,Western Michigan,MAC,9,22,22,100.0,8,14,57.1,46,
2002,114,Chris Griffith,chris-griffith-1,UCLA,Pac-10,9,26,27,96.3,8,14,57.1,50,
2002,115,Todd Pegram,todd-pegram-1,Texas A&M,Big 12,12,32,33,97.0,12,21,57.1,68,
2002,116,Nicholas Setta,nicholas-setta-1,Notre Dame,Ind,13,32,32,100.0,14,25,56.0,74,
2002,117,Austin Herbert,austin-herbert-1,North Carolina State,ACC,14,38,43,88.4,5,9,55.6,53,
2002,118,David Wasielewski,david-wasielewski-1,Northwestern,Big Ten,12,26,28,92.9,10,18,55.6,56,
2002,119,Collin Barber,collin-barber-1,Syracuse,Big East,12,33,36,91.7,11,20,55.0,66,
2002,120,Sean Keel,sean-keel-1,Arizona,Pac-10,12,9,10,90.0,6,11,54.5,27,
2002,121,Brent Garber,brent-garber-1,Duke,ACC,12,21,23,91.3,14,26,53.8,63,
2002,122,Dillon Pieffer,dillon-pieffer-1,Nevada-Las Vegas,MWC,12,33,34,97.1,7,13,53.8,54,
2002,123,Brennan Landry,brennan-landry-1,Rice,WAC,11,31,33,93.9,8,15,53.3,55,
2002,124,Berin Lacevic,berin-lacevic-1,Purdue,Big Ten,13,48,49,98.0,10,19,52.6,78,
2002,125,Bryan Borreson,bryan-borreson-1,Utah,MWC,11,26,30,86.7,11,21,52.4,59,
2002,126,Billy Sullivan,billy-sullivan-1,Akron,MAC,12,40,43,93.0,7,14,50.0,61,
2002,127,Jared Brite,jared-brite-1,Kansas State,Big 12,13,12,15,80.0,2,4,50.0,18,
2002,128,Joel Stelly,joel-stelly-1,Louisiana-Monroe,Sun Belt,10,14,15,93.3,1,2,50.0,17,
2002,129,Jon Mollerup,jon-mollerup-1,Virginia Tech,Big East,1,1,2,50.0,1,2,50.0,4,
2002,130,Michael Baker,michael-baker-1,Buffalo,MAC,10,8,8,100.0,1,2,50.0,11,
2002,131,Phillip Newman,phillip-newman-1,Tennessee,SEC,13,8,8,100.0,4,8,50.0,20,
2002,132,Scott Parker,scott-parker-1,Wyoming,MWC,12,22,27,81.5,4,8,50.0,34,
2002,133,Sean Comiskey,sean-comiskey-1,Louisiana,Sun Belt,12,20,20,100.0,9,18,50.0,47,
2002,134,Eric Neihouse,eric-neihouse-1,Arkansas State,Sun Belt,13,31,32,96.9,10,22,45.5,61,
2002,135,Pat Brougham,pat-brougham-1,Colorado,Big 12,14,44,47,93.6,11,26,42.3,77,
2002,136,Ryan Sands,ryan-sands-1,Rutgers,Big East,12,18,19,94.7,5,12,41.7,33,
2002,137,Johnny Beck,johnny-beck-1,Kansas,Big 12,11,23,27,85.2,7,17,41.2,44,
2002,138,Keith Stamps,keith-stamps-1,Idaho,Sun Belt,12,36,36,100.0,7,17,41.2,57,
2002,139,Damon Duval,damon-duval-1,Auburn,SEC,13,40,40,100.0,6,15,40.0,58,
2002,140,Troy Nienberg,troy-nienberg-1,Michigan,Big Ten,13,14,15,93.3,2,5,40.0,20,
2002,141,Tyler Kuecker,tyler-kuecker-1,Louisiana-Monroe,Sun Belt,12,13,15,86.7,4,10,40.0,25,
2002,142,Tyler Jones,tyler-jones-2,Boise State,WAC,13,12,12,100.0,3,8,37.5,21,
2002,143,David Davis,david-davis-1,USC,Pac-10,4,7,10,70.0,1,3,33.3,10,
2002,144,Eric Klaban,eric-klaban-1,Eastern Michigan,MAC,12,37,39,94.9,3,9,33.3,46,
2002,145,Nic Schmitt,nic-schmitt-1,Virginia Tech,Big East,4,14,14,100.0,2,6,33.3,20,
2002,146,Philip Brabbs,philip-brabbs-1,Michigan,Big Ten,12,9,10,90.0,3,9,33.3,18,
2002,147,Philip Yost,philip-yost-1,Auburn,SEC,5,7,7,100.0,1,3,33.3,10,
2002,148,Phillip Yost,phillip-yost-1,Auburn,SEC,7,7,7,100.0,1,3,33.3,10,
2002,149,Ricky Tallant,ricky-tallant-1,Tulsa,WAC,10,4,4,100.0,1,3,33.3,7,
